N,종목명,현재가,전일비,등락률,액면가,시가,고가,저가
23.0,카카오뱅크,28650.0,300.0,+1.06%,5000.0,28250.0,28750.0,27950.0
24.0,LG,84200.0,800.0,-0.94%,5000.0,84900.0,84900.0,83000.0
25.0,한국전력,19410.0,70.0,-0.36%,5000.0,19470.0,19570.0,19340.0
26.0,HD현대중공업,136800.0,1000.0,+0.74%,5000.0,135500.0,139000.0,134500.0
27.0,KT&G,84800.0,800.0,+0.95%,5000.0,84700.0,85100.0,83100.0
28.0,삼성화재,245500.0,5500.0,+2.29%,500.0,239500.0,247000.0,239000.0
29.0,하나금융지주,38650.0,200.0,+0.52%,5000.0,38550.0,38800.0,38250.0
30.0,SK,155800.0,300.0,+0.19%,200.0,156100.0,156500.0,154700.0
31.0,하이브,270000.0,22000.0,+8.87%,500.0,249000.0,271500.0,249000.0
32.0,삼성전기,148200.0,3600.0,-2.37%,5000.0,152300.0,152700.0,147600.0
33.0,두산에너빌리티,17000.0,30.0,+0.18%,5000.0,16970.0,17080.0,16710.0
34.0,메리츠금융지주,49950.0,450.0,+0.91%,500.0,50000.0,50300.0,49200.0
35.0,삼성에스디에스,134400.0,6600.0,+5.16%,500.0,128700.0,136100.0,128500.0
36.0,한화오션,47100.0,1000.0,+2.17%,5000.0,46150.0,48450.0,46150.0
37.0,SK텔레콤,46300.0,150.0,+0.33%,100.0,46000.0,46400.0,45950.0
38.0,고려아연,496500.0,4500.0,-0.90%,5000.0,501000.0,505000.0,491500.0
39.0,금양,152500.0,3500.0,+2.35%,500.0,152000.0,154500.0,148000.0
40.0,HMM,18060.0,80.0,+0.44%,5000.0,17980.0,18500.0,17980.0
41.0,대한항공,23950.0,50.0,+0.21%,5000.0,23800.0,24050.0,23550.0
42.0,S-Oil,77300.0,200.0,+0.26%,2500.0,77800.0,77900.0,76800.0
43.0,HD한국조선해양,121900.0,1900.0,+1.58%,5000.0,120500.0,123400.0,119400.0
44.0,우리금융지주,11570.0,0.0,0.00%,5000.0,11590.0,11600.0,11530.0
45.0,기업은행,10510.0,110.0,+1.06%,5000.0,10410.0,10520.0,10370.0
46.0,크래프톤,169300.0,1300.0,-0.76%,100.0,170700.0,173300.0,168400.0
47.0,KT,30600.0,200.0,+0.66%,5000.0,30500.0,30650.0,30300.0
48.0,삼성중공업,8940.0,130.0,+1.48%,1000.0,8810.0,9140.0,8800.0
49.0,SK바이오팜,95500.0,1000.0,+1.06%,500.0,95700.0,96000.0,92700.0
50.0,SK아이이테크놀로지,102300.0,2700.0,-2.57%,1000.0,104700.0,104700.0,100500.0
51.0,아모레퍼시픽,122000.0,4600.0,+3.92%,500.0,118700.0,122400.0,118100.0
52.0,LG생활건강,455500.0,14500.0,+3.29%,5000.0,443000.0,459500.0,443000.0
53.0,삼성엔지니어링,36050.0,350.0,-0.96%,5000.0,36700.0,36750.0,35500.0
54.0,롯데케미칼,157700.0,1200.0,+0.77%,5000.0,158000.0,159400.0,155500.0
55.0,한화솔루션,38000.0,150.0,+0.40%,5000.0,37700.0,38650.0,37700.0
56.0,카카오페이,48300.0,400.0,-0.82%,500.0,48750.0,49700.0,48100.0
57.0,SK바이오사이언스,84200.0,100.0,-0.12%,500.0,85000.0,85500.0,82100.0
58.0,SK스퀘어,45700.0,750.0,+1.67%,100.0,45050.0,45800.0,44300.0
59.0,현대글로비스,170000.0,1000.0,+0.59%,500.0,169100.0,170600.0,168700.0
60.0,한화에어로스페이스,120700.0,1700.0,+1.43%,5000.0,119000.0,121200.0,118600.0
61.0,KODEX 200,34250.0,40.0,+0.12%,0.0,34275.0,34320.0,34110.0
62.0,LG이노텍,257000.0,8500.0,-3.20%,5000.0,265000.0,265000.0,255000.0
63.0,엔씨소프트,275000.0,1000.0,+0.36%,500.0,274500.0,279500.0,273500.0
64.0,유한양행,73200.0,300.0,-0.41%,1000.0,74800.0,75500.0,72500.0
65.0,두산밥캣,54200.0,400.0,-0.73%,500.0,54400.0,54800.0,53100.0
66.0,DB손해보험,76700.0,1000.0,+1.32%,500.0,75100.0,76800.0,74900.0
67.0,TIGER CD금리투자KIS(합성),52785.0,5.0,+0.01%,0.0,52785.0,52790.0,52780.0
68.0,코스모신소재,168300.0,700.0,-0.41%,1000.0,168300.0,171000.0,167100.0
69.0,LG디스플레이,13980.0,50.0,+0.36%,5000.0,13960.0,14180.0,13960.0
70.0,HD현대,62800.0,1400.0,+2.28%,1000.0,61800.0,63000.0,60800.0
71.0,맥쿼리인프라,12020.0,40.0,+0.33%,0.0,11980.0,12020.0,11920.0
72.0,한국항공우주,49700.0,850.0,+1.74%,5000.0,48900.0,50600.0,48800.0
73.0,현대제철,35900.0,1000.0,-2.71%,5000.0,36700.0,36700.0,35850.0
74.0,한국타이어앤테크놀로지,38550.0,700.0,-1.78%,500.0,39650.0,39700.0,38100.0
75.0,오리온,119100.0,700.0,+0.59%,500.0,117100.0,119900.0,116100.0
76.0,한미반도체,47250.0,2050.0,-4.16%,100.0,49000.0,51100.0,46100.0
77.0,한온시스템,8520.0,0.0,0.00%,100.0,8480.0,8520.0,8370.0
78.0,CJ제일제당,295000.0,500.0,+0.17%,5000.0,294500.0,296500.0,290000.0
79.0,LG유플러스,10030.0,40.0,+0.40%,5000.0,10000.0,10060.0,9960.0
80.0,현대오토에버,156700.0,3500.0,+2.28%,500.0,154500.0,157800.0,150700.0
81.0,미래에셋증권,7060.0,50.0,+0.71%,5000.0,6990.0,7100.0,6980.0
82.0,넷마블,48700.0,50.0,+0.10%,100.0,48750.0,49800.0,48100.0
83.0,F&F,108000.0,5500.0,+5.37%,100.0,102600.0,108700.0,102500.0
84.0,현대건설,36450.0,200.0,-0.55%,5000.0,36800.0,36800.0,36100.0
85.0,현대차2우B,105700.0,500.0,+0.48%,5000.0,105200.0,105700.0,104700.0
86.0,LS,116300.0,1700.0,+1.48%,5000.0,112800.0,119600.0,112800.0
87.0,SKC,98700.0,1100.0,-1.10%,5000.0,99800.0,100800.0,97600.0
88.0,현대미포조선,93000.0,400.0,+0.43%,5000.0,92600.0,94900.0,91900.0
89.0,금호석유,125900.0,100.0,-0.08%,5000.0,126100.0,127300.0,124800.0
90.0,GS,39050.0,300.0,+0.77%,5000.0,38650.0,39300.0,38600.0
91.0,한미약품,285500.0,4500.0,-1.55%,2500.0,289500.0,290000.0,279000.0
92.0,KODEX KOFR금리액티브(합성),103815.0,25.0,+0.02%,0.0,103810.0,103815.0,103810.0
93.0,NH투자증권,10230.0,20.0,+0.20%,5000.0,10120.0,10250.0,10120.0
94.0,삼성카드,29150.0,450.0,+1.57%,5000.0,28750.0,29150.0,28650.0
95.0,강원랜드,15680.0,190.0,+1.23%,500.0,15640.0,15880.0,15520.0
96.0,현대로템,30300.0,50.0,-0.16%,5000.0,30200.0,30650.0,30050.0
97.0,삼성증권,36350.0,400.0,+1.11%,5000.0,35950.0,36500.0,35700.0
98.0,LS ELECTRIC,101500.0,1500.0,-1.46%,5000.0,101300.0,105800.0,100300.0
99.0,코웨이,40750.0,450.0,+1.12%,500.0,40300.0,40800.0,40050.0
100.0,씨에스윈드,71300.0,1200.0,-1.66%,500.0,72500.0,73000.0,70900.0
101.0,호텔신라,75000.0,1500.0,+2.04%,5000.0,73100.0,75000.0,72900.0
102.0,BGF리테일,168900.0,2300.0,-1.34%,1000.0,172100.0,173600.0,166100.0
103.0,LG화학우,378500.0,5000.0,-1.30%,5000.0,385500.0,385500.0,378000.0
104.0,KODEX 종합채권(AA-이상)액티브,104515.0,110.0,-0.11%,0.0,104430.0,104700.0,104420.0
105.0,한진칼,42450.0,50.0,-0.12%,2500.0,42100.0,42700.0,42100.0
106.0,한화시스템,14980.0,180.0,+1.22%,5000.0,14770.0,15080.0,14760.0
107.0,한국금융지주,50600.0,400.0,+0.80%,5000.0,50200.0,51100.0,50000.0
108.0,TIGER 차이나전기차SOLACTIVE,10345.0,160.0,+1.57%,0.0,10245.0,10385.0,10235.0
109.0,한전기술,72400.0,200.0,+0.28%,200.0,72500.0,73500.0,71500.0
110.0,쌍용C&E,5390.0,50.0,-0.92%,100.0,5450.0,5460.0,5360.0
111.0,롯데지주,25850.0,200.0,+0.78%,200.0,25650.0,25900.0,25500.0
112.0,키움증권,102900.0,1400.0,+1.38%,5000.0,101700.0,103800.0,100900.0
113.0,현대해상,29850.0,1000.0,+3.47%,500.0,28850.0,29850.0,28800.0
114.0,HD현대일렉트릭,73600.0,400.0,+0.55%,5000.0,72800.0,74400.0,72500.0
115.0,영원무역,59100.0,2700.0,+4.79%,500.0,56500.0,60300.0,56000.0
116.0,팬오션,4800.0,110.0,+2.35%,1000.0,4685.0,4840.0,4680.0
117.0,DB하이텍,57700.0,100.0,-0.17%,5000.0,57900.0,58000.0,57100.0
118.0,아모레G,30650.0,850.0,+2.85%,500.0,29850.0,31200.0,29800.0
119.0,현대차우,104400.0,100.0,-0.10%,5000.0,104000.0,107000.0,103100.0
120.0,농심,403000.0,6500.0,+1.64%,5000.0,396000.0,403000.0,394000.0
121.0,TIGER 미국나스닥100,89890.0,780.0,+0.88%,0.0,89120.0,89940.0,89110.0
122.0,휠라홀딩스,39950.0,800.0,+2.04%,1000.0,39050.0,40000.0,38850.0
123.0,TIGER 200,34295.0,40.0,+0.12%,0.0,34255.0,34360.0,34150.0
124.0,롯데에너지머티리얼즈,52000.0,1400.0,-2.62%,500.0,53300.0,53400.0,51800.0
125.0,한미사이언스,34000.0,1100.0,-3.13%,500.0,34800.0,35100.0,33650.0
126.0,한국가스공사,25400.0,300.0,+1.20%,5000.0,24950.0,25550.0,24950.0
127.0,GS리테일,22000.0,0.0,0.00%,1000.0,22100.0,22250.0,21900.0
128.0,제일기획,19320.0,620.0,+3.32%,200.0,18650.0,19360.0,18620.0
129.0,한화,29550.0,150.0,-0.51%,5000.0,29700.0,29900.0,29400.0
130.0,HD현대인프라코어,11060.0,40.0,-0.36%,1000.0,11140.0,11200.0,10760.0
131.0,영풍제지,47400.0,100.0,-0.21%,500.0,47650.0,50100.0,43000.0
132.0,BNK금융지주,6750.0,70.0,+1.05%,5000.0,6680.0,6800.0,6660.0
133.0,한솔케미칼,192800.0,4000.0,-2.03%,5000.0,196200.0,196700.0,190400.0
134.0,이마트,77600.0,1600.0,+2.11%,5000.0,76000.0,77700.0,76000.0
135.0,에스원,56400.0,2300.0,+4.25%,500.0,54600.0,57300.0,53500.0
136.0,한화생명,2415.0,30.0,+1.26%,5000.0,2395.0,2465.0,2375.0
137.0,HL만도,44600.0,50.0,-0.11%,1000.0,44700.0,44850.0,44150.0
138.0,효성첨단소재,462000.0,2500.0,-0.54%,5000.0,468500.0,472500.0,461000.0
139.0,롯데쇼핑,72600.0,300.0,+0.41%,5000.0,72300.0,72700.0,71700.0
140.0,이수페타시스,31750.0,1300.0,-3.93%,1000.0,32950.0,34300.0,31250.0
141.0,KODEX 200TR,11695.0,0.0,0.00%,0.0,11695.0,11715.0,11640.0
142.0,동원산업,39700.0,100.0,+0.25%,1000.0,39650.0,40000.0,39350.0
143.0,TIGER 미국S&P500,14745.0,85.0,+0.58%,0.0,14660.0,14745.0,14620.0
144.0,신세계,197800.0,3500.0,+1.80%,5000.0,194400.0,198300.0,193600.0
145.0,CJ,65700.0,0.0,0.00%,5000.0,66000.0,66100.0,65200.0
146.0,KODEX 23-12 은행채(AA+이상)액티브,10365.0,0.0,0.00%,0.0,10370.0,10370.0,10365.0
147.0,대우건설,4525.0,0.0,0.00%,5000.0,4525.0,4535.0,4415.0
148.0,KCC,209500.0,3500.0,-1.64%,5000.0,212500.0,213000.0,207500.0
149.0,KODEX 200선물인버스2X,2495.0,5.0,-0.20%,0.0,2490.0,2520.0,2485.0
150.0,CJ대한통운,80900.0,6300.0,+8.45%,5000.0,74700.0,81400.0,74600.0
151.0,동서,18280.0,220.0,-1.19%,500.0,18510.0,18550.0,18220.0
152.0,코스모화학,49750.0,950.0,-1.87%,1000.0,50500.0,50600.0,49300.0
153.0,두산퓨얼셀,26400.0,450.0,-1.68%,100.0,26500.0,26700.0,26300.0
154.0,두산,104100.0,1400.0,-1.33%,5000.0,106800.0,106800.0,102200.0
155.0,JB금융지주,8720.0,190.0,+2.23%,5000.0,8620.0,8780.0,8510.0
156.0,OCI홀딩스,104400.0,800.0,-0.76%,5000.0,106500.0,106600.0,102700.0
157.0,KODEX 레버리지,17105.0,30.0,+0.18%,0.0,17135.0,17170.0,16960.0
158.0,LIG넥스원,76400.0,1100.0,+1.46%,5000.0,75200.0,77500.0,75200.0
159.0,TIGER 미국테크TOP10 INDXX,13855.0,220.0,+1.61%,0.0,13690.0,13860.0,13690.0
160.0,현대엘리베이,42600.0,1400.0,+3.40%,5000.0,41200.0,42750.0,41050.0
161.0,현대위아,61000.0,400.0,+0.66%,5000.0,60800.0,61000.0,59800.0
162.0,에스엘,35550.0,650.0,-1.80%,500.0,35850.0,35950.0,35050.0
163.0,대한전선,13100.0,50.0,-0.38%,1000.0,13050.0,13250.0,12900.0
164.0,효성중공업,174000.0,12700.0,-6.80%,5000.0,181300.0,181300.0,169000.0
165.0,삼아알미늄,108500.0,500.0,+0.46%,500.0,107600.0,109900.0,105800.0
166.0,LX세미콘,98100.0,1900.0,-1.90%,500.0,99200.0,99800.0,98100.0
167.0,롯데정밀화학,61800.0,1000.0,+1.64%,5000.0,61300.0,61800.0,60500.0
168.0,TIGER 미국필라델피아반도체나스닥,12890.0,70.0,+0.55%,0.0,12825.0,12895.0,12760.0
169.0,대덕전자,32150.0,450.0,-1.38%,500.0,31950.0,32500.0,31000.0
170.0,TCC스틸,59600.0,400.0,+0.68%,1000.0,59200.0,60100.0,57700.0
171.0,KG모빌리티,8320.0,20.0,+0.24%,5000.0,8470.0,8500.0,8270.0
172.0,덴티움,139500.0,2100.0,-1.48%,500.0,141600.0,142700.0,138900.0
173.0,한전KPS,34150.0,850.0,+2.55%,200.0,33600.0,34450.0,33300.0
174.0,효성티앤씨,353000.0,7500.0,+2.17%,5000.0,346000.0,356000.0,343500.0
175.0,HD현대건설기계,77000.0,300.0,+0.39%,5000.0,77000.0,77800.0,75700.0
176.0,에스디바이오센서,14080.0,1160.0,-7.61%,500.0,16050.0,16100.0,13810.0
177.0,오뚜기,366500.0,500.0,+0.14%,5000.0,367000.0,367500.0,362000.0
178.0,하이트진로,20400.0,0.0,0.00%,5000.0,20400.0,20550.0,20200.0
179.0,SK네트웍스,6040.0,80.0,+1.34%,2500.0,5960.0,6100.0,5960.0
180.0,코오롱인더,51100.0,500.0,+0.99%,5000.0,50600.0,51300.0,50000.0
181.0,LX인터내셔널,35100.0,400.0,+1.15%,5000.0,34650.0,35300.0,34350.0
182.0,녹십자,116300.0,1200.0,-1.02%,5000.0,118500.0,119300.0,116000.0
183.0,현대백화점,58000.0,1300.0,+2.29%,5000.0,56800.0,58000.0,56000.0
184.0,KODEX 단기채권PLUS,107340.0,5.0,0.00%,0.0,107335.0,107340.0,107335.0
185.0,TIGER MSCI Korea TR,14700.0,35.0,-0.24%,0.0,14705.0,14705.0,14645.0
186.0,효성,63000.0,800.0,+1.29%,5000.0,62100.0,63300.0,61100.0
187.0,이수스페셜티케미컬,239000.0,5000.0,-2.05%,5000.0,240500.0,247500.0,237000.0
188.0,솔루엠,26150.0,550.0,-2.06%,500.0,26700.0,26800.0,26050.0
189.0,TIGER 2차전지테마,36320.0,250.0,-0.68%,0.0,36575.0,36730.0,35800.0
190.0,한올바이오파마,24800.0,50.0,+0.20%,500.0,25300.0,25450.0,24500.0
191.0,금호타이어,4485.0,55.0,-1.21%,5000.0,4535.0,4595.0,4470.0
192.0,KBSTAR 200,34490.0,45.0,+0.13%,0.0,34485.0,34535.0,34330.0
193.0,DGB금융지주,7470.0,70.0,+0.95%,5000.0,7450.0,7530.0,7420.0
194.0,대웅제약,108400.0,700.0,+0.65%,2500.0,108300.0,109000.0,106400.0
195.0,GS건설,14270.0,70.0,-0.49%,5000.0,14250.0,14340.0,14070.0
196.0,롯데칠성,131600.0,400.0,-0.30%,500.0,133200.0,133500.0,129000.0
197.0,TIGER KOFR금리액티브(합성),102380.0,10.0,+0.01%,0.0,102380.0,102380.0,102375.0
198.0,KODEX 코스닥150선물인버스,3470.0,20.0,+0.58%,0.0,3435.0,3500.0,3435.0
199.0,해성디에스,71700.0,200.0,+0.28%,5000.0,71800.0,73600.0,71100.0
200.0,후성,12650.0,250.0,-1.94%,500.0,12870.0,12980.0,12600.0
201.0,SK오션플랜트,22250.0,150.0,-0.67%,500.0,22350.0,22600.0,22000.0
202.0,코스맥스,104200.0,4100.0,+4.10%,500.0,101300.0,105000.0,100500.0
203.0,솔루스첨단소재,33600.0,0.0,0.00%,100.0,33800.0,33950.0,33100.0
204.0,DL이앤씨,30450.0,50.0,+0.16%,5000.0,30450.0,30700.0,30200.0
205.0,KODEX 삼성그룹,9335.0,15.0,-0.16%,0.0,9360.0,9365.0,9285.0
206.0,한샘,48950.0,1750.0,+3.71%,1000.0,47250.0,48950.0,46700.0
207.0,KODEX 2차전지산업,32275.0,120.0,-0.37%,0.0,32490.0,32650.0,31850.0
208.0,SK케미칼,66000.0,0.0,0.00%,5000.0,66400.0,66500.0,64700.0
209.0,동원시스템즈,39200.0,200.0,+0.51%,5000.0,38750.0,39250.0,38300.0
210.0,한국콜마,49300.0,1000.0,+2.07%,500.0,48050.0,49450.0,48000.0
211.0,SK가스,121900.0,600.0,+0.49%,5000.0,120800.0,122600.0,120400.0
212.0,TIGER TOP10,11610.0,0.0,0.00%,0.0,11595.0,11645.0,11550.0
213.0,영풍,581000.0,6000.0,-1.02%,5000.0,592000.0,593000.0,574000.0
214.0,한국앤컴퍼니,11260.0,80.0,-0.71%,500.0,11280.0,11340.0,11230.0
215.0,KBSTAR 종합채권(A-이상)액티브,96835.0,205.0,-0.21%,0.0,96955.0,96955.0,96715.0
216.0,영원무역홀딩스,77900.0,1500.0,+1.96%,500.0,76600.0,78800.0,75200.0
217.0,신풍제약,19450.0,250.0,-1.27%,500.0,21500.0,22000.0,19020.0
218.0,종근당,81600.0,600.0,+0.74%,2500.0,82000.0,82500.0,80400.0
219.0,풍산,36050.0,100.0,+0.28%,5000.0,36050.0,36300.0,35500.0
220.0,아이에스동서,32700.0,600.0,+1.87%,500.0,31850.0,32700.0,31650.0
221.0,롯데렌탈,27350.0,500.0,+1.86%,5000.0,26750.0,27400.0,26750.0
222.0,명신산업,19000.0,230.0,-1.20%,500.0,19000.0,19160.0,18940.0
223.0,더존비즈온,32750.0,1400.0,+4.47%,500.0,32250.0,33800.0,31800.0
224.0,제주항공,12920.0,30.0,+0.23%,1000.0,13000.0,13030.0,12860.0
225.0,코리안리,7030.0,90.0,+1.30%,500.0,6970.0,7050.0,6920.0
226.0,TIGER 단기통안채,104120.0,5.0,0.00%,0.0,104140.0,104140.0,104110.0
227.0,OCI,126900.0,100.0,-0.08%,5000.0,126200.0,129100.0,126200.0
228.0,롯데웰푸드,98300.0,300.0,+0.31%,500.0,98100.0,99200.0,97000.0
229.0,TKG휴켐스,22650.0,200.0,-0.88%,1000.0,22900.0,22950.0,22500.0
230.0,일진하이솔루스,25250.0,400.0,-1.56%,500.0,25800.0,25800.0,25200.0
231.0,DN오토모티브,91100.0,1000.0,-1.09%,500.0,93000.0,93000.0,90300.0
232.0,오리온홀딩스,14530.0,210.0,+1.47%,500.0,14500.0,14540.0,14330.0
233.0,대한유화,139900.0,2200.0,+1.60%,5000.0,138900.0,142000.0,136600.0
234.0,세아베스틸지주,25200.0,700.0,-2.70%,5000.0,26500.0,26850.0,25100.0
235.0,NHN,25800.0,50.0,-0.19%,500.0,25900.0,26250.0,25650.0
236.0,삼양식품,118900.0,3100.0,+2.68%,5000.0,115100.0,120400.0,114800.0
237.0,SK리츠,4550.0,20.0,-0.44%,500.0,4570.0,4590.0,4540.0
238.0,PI첨단소재,30150.0,500.0,-1.63%,500.0,30350.0,30800.0,29850.0
239.0,GKL,14250.0,430.0,+3.11%,500.0,13870.0,14420.0,13740.0
240.0,드림텍,13240.0,290.0,-2.14%,100.0,13630.0,13880.0,13150.0
241.0,DL,41350.0,300.0,+0.73%,5000.0,41200.0,41600.0,40900.0
242.0,이노션,42800.0,800.0,+1.90%,500.0,41800.0,42850.0,41250.0
243.0,HSD엔진,11900.0,450.0,+3.93%,1000.0,11450.0,12200.0,11450.0
244.0,율촌화학,34300.0,100.0,-0.29%,500.0,33850.0,34450.0,33800.0
245.0,애경케미칼,17440.0,190.0,-1.08%,500.0,17630.0,17720.0,17300.0
246.0,롯데리츠,3490.0,5.0,-0.14%,500.0,3490.0,3510.0,3480.0
247.0,TIGER 200 IT,31735.0,155.0,-0.49%,0.0,31935.0,31935.0,31615.0
248.0,경동나비엔,57700.0,1000.0,-1.70%,1000.0,58800.0,58900.0,56100.0
249.0,한일시멘트,12130.0,160.0,+1.34%,500.0,12020.0,12170.0,11900.0
250.0,ESR켄달스퀘어리츠,3925.0,15.0,-0.38%,1000.0,3910.0,3950.0,3910.0
251.0,세아제강지주,201500.0,2000.0,+1.00%,5000.0,199400.0,203000.0,198800.0
252.0,JW중외제약,36450.0,50.0,-0.14%,2500.0,36600.0,37300.0,36000.0
253.0,KG스틸,8320.0,10.0,-0.12%,5000.0,8290.0,8540.0,8280.0
254.0,아시아나항공,11120.0,90.0,+0.82%,5000.0,11030.0,11190.0,10940.0
255.0,대웅,14140.0,60.0,+0.43%,500.0,14080.0,14300.0,13810.0
256.0,다우기술,18130.0,230.0,+1.28%,500.0,17900.0,18130.0,17900.0
257.0,비에이치,23450.0,800.0,-3.30%,500.0,24200.0,24400.0,23350.0
258.0,미원상사,166500.0,400.0,-0.24%,500.0,166900.0,166900.0,165100.0
259.0,LG전자우,46850.0,500.0,-1.06%,5000.0,47350.0,47500.0,46800.0
260.0,KODEX 단기채권,106670.0,20.0,+0.02%,0.0,106660.0,106675.0,106660.0
261.0,넥센타이어,8130.0,10.0,-0.12%,500.0,8100.0,8190.0,8040.0
262.0,제이알글로벌리츠,4000.0,20.0,-0.50%,1000.0,4010.0,4045.0,3990.0
263.0,하나투어,48550.0,150.0,+0.31%,500.0,48400.0,49400.0,48050.0
264.0,한세실업,19300.0,1540.0,+8.67%,500.0,17580.0,19390.0,17580.0
265.0,진에어,14760.0,40.0,-0.27%,1000.0,14780.0,14900.0,14600.0
266.0,롯데관광개발,10430.0,330.0,+3.27%,500.0,10320.0,10630.0,10250.0
267.0,KODEX 인버스,4485.0,5.0,-0.11%,0.0,4485.0,4505.0,4475.0
268.0,KODEX 코스닥150레버리지,13910.0,180.0,-1.28%,0.0,14140.0,14190.0,13715.0
269.0,더블유게임즈,40800.0,50.0,-0.12%,500.0,40550.0,41100.0,40500.0
270.0,삼부토건,3615.0,10.0,-0.28%,1000.0,3625.0,3780.0,3500.0
271.0,KBSTAR 머니마켓액티브,50495.0,10.0,-0.02%,0.0,50505.0,50505.0,50490.0
272.0,SK디스커버리,37950.0,150.0,-0.39%,5000.0,38150.0,38500.0,37800.0
273.0,프레스티지바이오파마,11920.0,50.0,-0.42%,0.0,12010.0,12210.0,11810.0
274.0,미원에스씨,142200.0,2300.0,-1.59%,500.0,144500.0,147000.0,142000.0
275.0,SNT모티브,48550.0,200.0,-0.41%,5000.0,48750.0,48750.0,48050.0
276.0,대신증권,13900.0,80.0,+0.58%,5000.0,13880.0,14120.0,13800.0
277.0,KODEX 자동차,18460.0,40.0,-0.22%,0.0,18450.0,18490.0,18280.0
278.0,F&F홀딩스,17840.0,180.0,+1.02%,500.0,17590.0,18200.0,17460.0
279.0,세방전지,48250.0,400.0,+0.84%,500.0,47950.0,48700.0,47600.0
280.0,HDC현대산업개발,10140.0,10.0,-0.10%,5000.0,10150.0,10170.0,10030.0
281.0,녹십자홀딩스,14150.0,230.0,-1.60%,500.0,14440.0,14440.0,14080.0
282.0,태광산업,597000.0,0.0,0.00%,5000.0,597000.0,600000.0,595000.0
283.0,KCC글라스,41250.0,400.0,-0.96%,1000.0,41900.0,41900.0,41050.0
284.0,미래에셋생명,3675.0,35.0,+0.96%,5000.0,3640.0,3690.0,3640.0
285.0,ARIRANG 200,34855.0,65.0,+0.19%,0.0,34790.0,34900.0,34690.0
286.0,KOSEF 국고채10년,108540.0,335.0,-0.31%,0.0,108700.0,108770.0,108285.0
287.0,TIGER 차이나항셍테크,6495.0,80.0,+1.25%,0.0,6460.0,6550.0,6430.0
288.0,한국카본,14490.0,750.0,+5.46%,500.0,13740.0,14980.0,13740.0
289.0,애경산업,24050.0,1350.0,+5.95%,1000.0,22400.0,24150.0,22400.0
290.0,자화전자,28800.0,0.0,0.00%,500.0,28800.0,29050.0,28300.0
291.0,KODEX Top5PlusTR,18585.0,105.0,+0.57%,0.0,18450.0,18630.0,18450.0
292.0,조선내화,52700.0,9800.0,-15.68%,500.0,63600.0,66300.0,50700.0
293.0,대한해운,1949.0,14.0,+0.72%,500.0,1944.0,1961.0,1917.0
294.0,KG케미칼,44800.0,800.0,+1.82%,5000.0,44000.0,45900.0,43600.0
295.0,TIGER 2차전지소재Fn,11900.0,60.0,-0.50%,0.0,12020.0,12100.0,11700.0
296.0,KODEX MSCI Korea TR,11715.0,25.0,+0.21%,0.0,11810.0,11810.0,11680.0
297.0,동국제강,12490.0,870.0,-6.51%,5000.0,13310.0,13570.0,12360.0
298.0,우리종금,707.0,0.0,0.00%,500.0,0.0,0.0,0.0
299.0,TIGER 단기채권액티브,52345.0,5.0,+0.01%,0.0,52490.0,52490.0,52325.0
300.0,LX홀딩스,7980.0,40.0,-0.50%,1000.0,8020.0,8040.0,7950.0
301.0,보령,8860.0,100.0,-1.12%,500.0,8930.0,8980.0,8770.0
